 ;2016;;;
Nepal;21.0;;;
Netherlands;57.8;;;
New Caledonia;..;;;
New Zealand;65.6;;;
Nicaragua;58.2;;;
Niger;22.0;;;
Nigeria;28.9;;;
North America;67.5;;;
North Macedonia;58.1;;;
Northern Mariana Islands;..;;;
Norway;58.3;;;
Not classified;..;;;
OECD members;58.0;;;
Oman;62.6;;;
Other small states;45.0;;;
Pacific island small states;64.0;;;
Pakistan;28.4;;;
Palau;85.1;;;
Panama;58.8;;;
Papua New Guinea;52.9;;;
Paraguay;53.5;;;
Peru;57.5;;;
Philippines;27.6;;;
Poland;58.3;;;
Portugal;57.5;;;
Post-demographic dividend;56.6;;;
Pre-demographic dividend;28.8;;;
Puerto Rico;..;;;
Qatar;71.7;;;
Romania;57.7;;;
Russian Federation;57.1;;;
Rwanda;25.1;;;
Samoa;77.6;;;
San Marino;..;;;
Sao Tome and Principe;35.4;;;
Saudi Arabia;69.7;;;
Senegal;28.4;;;
Serbia;57.1;;;
Seychelles;36.8;;;
Sierra Leone;27.7;;;
Singapore;31.8;;;
Sint Maarten (Dutch part);..;;;
Slovak Republic;56.2;;;
Slovenia;56.1;;;
Small states;47.6;;;
Solomon Islands;55.0;;;
Somalia;28.4;;;
South Africa;53.8;;;
South Asia;20.7;;;
South Asia (IDA & IBRD);20.7;;;
South Sudan;..;;;
Spain;61.6;;;
Sri Lanka;23.3;;;
St. Kitts and Nevis;52.3;;;
St. Lucia;48.1;;;
St. Martin (French part);..;;;
St. Vincent and the Grenadines;55.0;;;
Sub-Saharan Africa;28.9;;;
Sub-Saharan Africa (excluding high income);28.9;;;
Sub-Saharan Africa (IDA & IBRD countries);28.9;;;
Sudan;..;;;
Suriname;58.9;;;
Sweden;56.4;;;
Switzerland;54.3;;;
Syrian Arab Republic;61.4;;;
Tajikistan;45.3;;;
Tanzania;27.7;;;
Thailand;32.6;;;
Timor-Leste;21.6;;;
Togo;28.1;;;
Tonga;78.5;;;
Trinidad and Tobago;46.0;;;
Tunisia;61.6;;;
Turkey;66.8;;;
Turkmenistan;51.8;;;
Turks and Caicos Islands;..;;;
Tuvalu;81.9;;;
Uganda;22.4;;;
Ukraine;58.4;;;
United Arab Emirates;67.8;;;
United Kingdom;63.7;;;
United States;67.9;;;
Upper middle income;43.3;;;
Uruguay;62.9;;;
Uzbekistan;48.2;;;
Vanuatu;57.1;;;
Venezuela, RB;63.4;;;
Vietnam;18.3;;;
Virgin Islands (U.S.);..;;;
West Bank and Gaza;..;;;
World;38.9;;;
Yemen, Rep.;48.8;;;
Zambia;27.8;;;
Zimbabwe;38.2;;;
"Created from: Health Nutrition and Population Statistics
Series : Prevalence of overweight (% of adults)";;;;
