date,granularite,maille_code,maille_nom,cas_confirmes,deces,reanimation,hospitalises,gueris,source_nom,source_url,source_type
2020-02-23,pays,FRA,France,12,1,,1,10,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7s4yks,ministere-sante
2020-02-24,pays,FRA,France,12,1,,,11,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7s6c04,ministere-sante
2020-02-25,pays,FRA,France,14,1,,2,11,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7s7wtl,ministere-sante
2020-02-26,pays,FRA,France,18,2,,4,12,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7s9fw9,ministere-sante
2020-02-27,pays,FRA,France,38,2,2,24,12,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7savbf,ministere-sante
2020-02-28,pays,FRA,France,57,,,,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7sc3d1,ministere-sante
2020-02-29,pays,FRA,France,100,2,9,86,12,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7sd9sf,ministere-sante
2020-03-01,pays,FRA,France,130,2,9,116,12,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7sedoy,ministere-sante
2020-03-02,pays,FRA,France,191,3,,,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7sfmt7,ministere-sante
2020-03-02,region,REG-44,Grand-Est,5,,,,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7sfmt7,ministere-sante
2020-03-03,pays,FRA,France,212,4,,,12,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7sgicv,ministere-sante
2020-03-04,pays,FRA,France,285,4,15,,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7shh99,ministere-sante
2020-03-05,pays,FRA,France,423,7,23,,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7siev3,ministere-sante
2020-03-06,pays,FRA,France,613,9,39,,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7sj9hs,ministere-sante
2020-03-07,pays,FRA,France,949,16,45,,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7ska17,ministere-sante
2020-03-09,pays,FRA,France,1412,25,66,,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7slmu1,ministere-sante
2020-03-10,pays,FRA,France,1784,33,86,,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7smg45,ministere-sante
2020-03-11,pays,FRA,France,2281,48,105,,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7snao5,ministere-sante
2020-03-12,pays,FRA,France,2876,61,129,,,Ministère des Solidarités et de la Santé,https://solidarites-sante.gouv.fr/IMG/pdf/cp_mss_-_covid-19_-_point_de_situation.pdf,ministere-sante
2020-03-14,pays,FRA,France,4500,91,300,,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7spi7d,ministere-sante
2020-03-15,pays,FRA,France,5423,127,,400,,Ministère des Solidarités et de la Santé,https://solidarites-sante.gouv.fr/IMG/pdf/cp_mss_-_covid-19_-_point_de_situation_15.03.20_v20h15.pdf,ministere-sante
2020-03-17,pays,FRA,France,7730,175,699,2579,602,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7srn0c,ministere-sante
2020-03-18,pays,FRA,France,9134,264,931,3626,1000,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7ssjki,ministere-sante
2020-03-19,pays,FRA,France,10995,372,1122,4461,1300,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7stprh,ministere-sante
2020-03-20,pays,FRA,France,12612,450,1297,5226,1587,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7sugjb,ministere-sante
2020-03-21,pays,FRA,France,14459,562,1525,6172,,Ministère des Solidarités et de la Santé,https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/communique-de-presse-covid-19-extension-nationale-et-aggravation-rapide-de-l,ministere-sante
2020-03-22,pays,FRA,France,16689,674,1746,7240,2200,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7svka4,ministere-sante
2020-03-23,pays,FRA,France,19856,860,2082,8675,,Ministère des Solidarités et de la Santé,https://www.pscp.tv/MinSoliSante/1MnxnQnDwOEJO,ministere-sante
2020-03-24,pays,FRA,France,22300,1100,2516,10176,3281,Ministère des Solidarités et de la Santé,https://www.pscp.tv/MinSoliSante/1vOxwoeNbQgxB,ministere-sante
