Panama;1.9;;;
Papua New Guinea;16.3;;;
Paraguay;1.5;;;
Peru;1.3;;;
Philippines;4.2;;;
Poland;0.1;;;
Portugal;0.2;;;
Puerto Rico;..;;;
Qatar;0.1;;;
Romania;0.4;;;
Russian Federation;0.1;;;
Rwanda;19.3;;;
Samoa;1.5;;;
San Marino;..;;;
Sao Tome and Principe;11.4;;;
Saudi Arabia;0.1;;;
Senegal;23.9;;;
Serbia;0.7;;;
Seychelles;0.2;;;
Sierra Leone;81.3;;;
Singapore;0.1;;;
Sint Maarten (Dutch part);..;;;
Slovak Republic;0.1;;;
Slovenia;0.1;;;
Solomon Islands;6.2;;;
Somalia;86.6;;;
South Africa;13.7;;;
South Sudan;63.3;;;
Spain;0.2;;;
Sri Lanka;1.2;;;
St. Kitts and Nevis;..;;;
St. Lucia;0.6;;;
St. Martin (French part);..;;;
St. Vincent and the Grenadines;1.3;;;
Sudan;17.3;;;
Suriname;2.0;;;
Sweden;0.2;;;
Switzerland;0.1;;;
Syrian Arab Republic;3.7;;;
Tajikistan;2.7;;;
Tanzania;38.4;;;
Thailand;3.5;;;
Timor-Leste;9.9;;;
Togo;41.6;;;
Tonga;1.4;;;
Trinidad and Tobago;0.1;;;
Tunisia;1.0;;;
Turkey;0.3;;;
Turkmenistan;4.0;;;
Turks and Caicos Islands;..;;;
Tuvalu;..;;;
Uganda;31.6;;;
Ukraine;0.3;;;
United Arab Emirates;0.1;;;
United Kingdom;0.2;;;
United States;0.2;;;
Uruguay;0.4;;;
Uzbekistan;0.4;;;
Vanuatu;10.4;;;
Venezuela, RB;1.4;;;
Vietnam;1.6;;;
Virgin Islands (U.S.);..;;;
West Bank and Gaza;..;;;
Yemen, Rep.;10.2;;;
Zambia;34.9;;;
Zimbabwe;24.6;;;
"Created from: World Development Indicators
Series : Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)";;;;
