Country,Year,medianAge
Russia,2020,39.599998
Rwanda,2020,20.299999
Saint Lucia,2020,34.900002
Saint Vincent and the Grenadines,2020,31.799999
Samoa,2020,22.0
Sao Tome and Principe,2020,18.700001
Saudi Arabia,2020,31.9
Senegal,2020,18.700001
Serbia,2020,41.200001
Seychelles,2020,36.200001
Sierra Leone,2020,19.1
Singapore,2020,42.400002
Slovakia,2020,41.200001
Slovenia,2020,44.5
Solomon Islands,2020,20.799999
Somalia,2020,16.799999
South Africa,2020,27.299999
South America,2020,32.0
South Korea,2020,43.400002
South Sudan,2020,19.200001
South-Central Asia,2020,27.6
South-Eastern Asia,2020,30.0
Southern Africa,2020,26.700001
Southern Asia,2020,27.6
Southern Europe,2020,45.900002
Spain,2020,45.5
Sri Lanka,2020,34.099998
Sub-Saharan Africa,2020,18.700001
Sudan,2020,19.700001
Suriname,2020,29.6
Swaziland,2020,21.5
Sweden,2020,41.0
Switzerland,2020,43.099998
Syria,2020,21.700001
Taiwan,2020,42.200001
Tajikistan,2020,23.299999
Tanzania,2020,17.700001
Thailand,2020,40.099998
Timor,2020,18.0
Togo,2020,19.4
Tonga,2020,22.299999
Trinidad and Tobago,2020,36.200001
Tunisia,2020,32.700001
Turkey,2020,31.6
Turkmenistan,2020,26.9
Uganda,2020,16.4
Ukraine,2020,41.400002
United Arab Emirates,2020,34.0
United Kingdom,2020,40.799999
United States,2020,38.299999
United States Virgin Islands,2020,42.200001
Upper middle income,2020,35.599998
Uruguay,2020,35.599998
Uzbekistan,2020,28.200001
Vanuatu,2020,23.1
Venezuela,2020,29.0
Vietnam,2020,32.599998
Western Africa,2020,18.200001
Western Asia,2020,27.799999
Western Europe,2020,44.200001
Western Sahara,2020,28.4
World,2020,30.9
Yemen,2020,20.299999
Zambia,2020,17.700001
Zimbabwe,2020,19.6
